episode,sustainability_score,thermal_stability,outlet_temperature,liquid_outlet_temp
1,33.99,0.1131,28.4413,1.2983
2,39.64,0.1131,28.8836,1.2983
3,25.09,0.1131,29.1348,1.2983
4,36.42,0.1131,28.6593,1.2983
5,34.32,0.1131,28.3683,1.2983
6,29.68,0.1131,29.0538,1.2983
7,40.27,0.1131,28.8312,1.2983
8,28.89,0.1131,29.1348,1.2983
9,27.34,0.1131,29.0725,1.2983
10,33.34,0.1131,28.4466,1.2983
11,24.99,0.1131,29.1402,1.2983
12,38.74,0.1131,28.599,1.2983
13,35.27,0.1131,29.0984,1.2983
14,36.79,0.1131,28.5262,1.2983
15,27.3,0.1131,29.2351,1.2983
16,24.89,0.1131,29.1402,1.2983
17,24.52,0.1131,29.1603,1.2983
18,28.91,0.1131,29.0538,1.2983
19,25.04,0.1131,29.1771,1.2983
20,27.37,0.1131,29.2351,1.2983
